阶段,评价数据,状态,精确率Precision,召回率Recall,F1分数,交并比IoU,像素准确率Accuracy,特异度Specificity
阶段一_合成裂缝监督,合成裂缝验证集,已完成,0.5027471409385047,0.8791545085759019,0.6396872248972636,0.47025010468613193,0.9823048909505209,0.9841813819863513
阶段二_异常修复引导,合成裂缝验证集,已完成,0.5350680965853016,0.9420247886018766,0.6824857334671445,0.5180101277110736,0.9807561238606771,0.9816255528715517
阶段三_Teacher-Student,合成裂缝验证集,已完成,0.4962575525295338,0.9561566083632572,0.6533948113109704,0.4852163178932518,0.977728525797526,0.9782127655148564
阶段四_独立真实审核,真实无标签留出集,全自动无标签审核已完成_无真值故精度指标不可定义,,,,,,
