迭代次数,训练损失
1,0.8068444728851318
2,0.809232234954834
3,0.8098985552787781
4,0.770114541053772
5,0.7881808280944824
6,0.7910093665122986
7,0.7660710215568542
8,0.7859399914741516
9,0.7659313678741455
10,0.7589703798294067
11,0.7732940912246704
12,0.7866265773773193
13,0.7661099433898926
14,0.7930590510368347
15,0.778030514717102
16,0.7595155239105225
17,0.7817369103431702
18,0.7768729329109192
19,0.7606374621391296
20,0.7460899949073792
21,0.7564175128936768
22,0.7608184814453125
23,0.7678913474082947
24,0.7759305834770203
25,0.7608485817909241
26,0.7645147442817688
27,0.7247515916824341
28,0.7235217690467834
29,0.8091064691543579
30,0.7903314828872681
31,0.6995647549629211
32,0.7500827312469482
33,0.7615788578987122
34,0.7478854656219482
35,0.7790495157241821
36,0.7441044449806213
37,0.7746409177780151
38,0.7252810597419739
39,0.7883296012878418
40,0.7789942026138306
41,0.7672537565231323
42,0.7656131982803345
43,0.7666496634483337
44,0.7868096232414246
45,0.7393174171447754
46,0.7477332353591919
47,0.7578185796737671
48,0.7143166661262512
49,0.7551445364952087
50,0.7561178207397461
51,0.7691246271133423
52,0.7665687799453735
53,0.8005792498588562
54,0.8024654984474182
55,0.7692961096763611
56,0.7628814578056335
57,0.7318410873413086
58,0.7380517721176147
59,0.7586848735809326
60,0.7663047909736633
61,0.7395201325416565
62,0.7177544832229614
63,0.7131478786468506
64,0.7263932228088379
65,0.7064639925956726
66,0.7524549961090088
67,0.742250382900238
68,0.7906835675239563
69,0.7672567367553711
70,0.7635060548782349
71,0.7710537314414978
72,0.7686603665351868
73,0.6789957880973816
74,0.700936496257782
75,0.7195339798927307
76,0.8051599860191345
77,0.7646662592887878
78,0.7015542984008789
79,0.7167659401893616
80,0.7427400946617126
81,0.731756329536438
82,0.7620110511779785
83,0.737257182598114
84,0.7479238510131836
85,0.7633510231971741
86,0.735371470451355
87,0.7392045855522156
88,0.764890193939209
89,0.7382625937461853
90,0.751185417175293
91,0.7022722959518433
92,0.7471532225608826
93,0.687308132648468
94,0.7748777866363525
95,0.7540672421455383
96,0.6922429800033569
97,0.6696462035179138
98,0.7266932725906372
99,0.7742510437965393
100,0.6866207718849182
101,0.7777900695800781
102,0.7334557771682739
103,0.6740906238555908
104,0.733676552772522
105,0.7842316031455994
106,0.7324770092964172
107,0.7310703992843628
108,0.6246340870857239
109,0.7048243880271912
110,0.7377942800521851
111,0.6758205890655518
112,0.7244773507118225
113,0.7496010661125183
114,0.7187061905860901
115,0.7480533123016357
116,0.7659403681755066
117,0.7667909264564514
118,0.7182890176773071
119,0.7622636556625366
120,0.716948390007019
