迭代次数,修复总损失,Mask内MAE,Mask外MAE,梯度损失
1,0.9341124296188354,0.22607117891311646,0.008135953918099403,0.02710803970694542
2,1.409935474395752,0.34518909454345703,0.008043657056987286,0.02591407485306263
3,1.1464921236038208,0.2793424129486084,0.008340305648744106,0.02363324537873268
4,1.1989258527755737,0.2930566370487213,0.008027102798223495,0.018947288393974304
5,1.1724576950073242,0.28593865036964417,0.007926218211650848,0.025392834097146988
6,1.179182767868042,0.2872685492038727,0.008242505602538586,0.027149248868227005
7,1.2412747144699097,0.30197790265083313,0.009951031766831875,0.02424459718167782
8,0.03111969493329525,0.0,0.00953602883964777,0.020798925310373306
9,0.8608262538909912,0.2075781524181366,0.009415246546268463,0.019930114969611168
10,0.903733491897583,0.21840408444404602,0.008916131220757961,0.02236233651638031
11,1.170225739479065,0.27981650829315186,0.015576350502669811,0.03433937579393387
12,1.1936955451965332,0.290253221988678,0.009947511367499828,0.022325478494167328
13,1.4234473705291748,0.3471639156341553,0.010706828907132149,0.02292761392891407
14,1.2574162483215332,0.3054717481136322,0.0108741894364357,0.02383946254849434
15,0.7528442144393921,0.17428630590438843,0.01808806136250496,0.029939528554677963
16,1.1528892517089844,0.27817070484161377,0.012242141179740429,0.027431659400463104
17,0.9905518293380737,0.23338641226291656,0.01766306161880493,0.03671000152826309
18,0.8235201239585876,0.19664974510669708,0.011171703226864338,0.025691214948892593
19,0.6805175542831421,0.1598508358001709,0.012799937278032303,0.026041120290756226
20,0.040678720921278,0.0,0.014041575603187084,0.01592794433236122
21,0.8568828105926514,0.20216016471385956,0.01481632050126791,0.03200388699769974
22,0.9363703727722168,0.22248071432113647,0.014824297279119492,0.026819363236427307
23,0.5903337597846985,0.13819606602191925,0.011128912679851055,0.02779204212129116
24,0.7418866157531738,0.17623521387577057,0.011710048653185368,0.02191615290939808
25,1.0098587274551392,0.23951467871665955,0.016603665426373482,0.02940244972705841
26,0.7094763517379761,0.16713382303714752,0.012440367601811886,0.028114650398492813
27,0.6743068099021912,0.15554611384868622,0.01626787893474102,0.032721858471632004
28,0.6348372101783752,0.14756792783737183,0.013360084965825081,0.03190068155527115
29,0.8434876203536987,0.2026834934949875,0.009381074458360672,0.026574086397886276
30,0.5232871174812317,0.11524675786495209,0.020546525716781616,0.03123927116394043
31,0.8142357468605042,0.1850360780954361,0.025946540758013725,0.026357419788837433
32,0.9888519644737244,0.23082235455513,0.021446891129016876,0.034129396080970764
33,0.7890329360961914,0.18552686274051666,0.014682907611131668,0.029194800183176994
34,0.665890097618103,0.1494615525007248,0.02330196276307106,0.027968615293502808
35,0.9313448667526245,0.2199372500181198,0.016614248976111412,0.028743602335453033
36,0.6694261431694031,0.1555057168006897,0.014950900338590145,0.02864585816860199
37,0.5350528359413147,0.11789567023515701,0.021191194653511047,0.029977548867464066
38,0.5198712944984436,0.11633845418691635,0.01784593053162098,0.0282933097332716
39,0.5817575454711914,0.1324126273393631,0.017191344872117043,0.02608202025294304
40,0.9488874077796936,0.22500109672546387,0.014961298555135727,0.03279948607087135
41,0.46502211689949036,0.10435135662555695,0.015717165544629097,0.023782238364219666
42,0.48472151160240173,0.10601606220006943,0.01968221552670002,0.03271917253732681
43,0.6454342603683472,0.14661447703838348,0.019430987536907196,0.02971109002828598
44,0.5898665189743042,0.1291808933019638,0.02483239583671093,0.031605664640665054
45,0.7605092525482178,0.17573712766170502,0.019253192469477654,0.026936491951346397
46,0.33171170949935913,0.06789310276508331,0.020202791318297386,0.02752094343304634
47,0.5803222060203552,0.13086363673210144,0.018842903897166252,0.027886763215065002
48,0.6441318392753601,0.14518116414546967,0.021354950964450836,0.028627879917621613
49,0.755855143070221,0.17262175679206848,0.021326817572116852,0.034431636333465576
50,0.5271432399749756,0.11604591459035873,0.020568104460835457,0.032969508320093155
51,0.613012969493866,0.13656891882419586,0.022186482325196266,0.03220301866531372
52,0.44193124771118164,0.09461807459592819,0.02044197916984558,0.03529722988605499
53,0.47413498163223267,0.10039480775594711,0.024311542510986328,0.0336482971906662
54,0.3894727826118469,0.0795796737074852,0.023310808464884758,0.03679163008928299
55,0.6275174021720886,0.13955503702163696,0.02163514867424965,0.043455351144075394
56,0.7021628022193909,0.15683791041374207,0.024874752387404442,0.03606938570737839
57,0.42869532108306885,0.09364403039216995,0.017058465629816055,0.03278012573719025
58,0.5540969967842102,0.11701800674200058,0.029521655291318893,0.03491659462451935
59,0.48341575264930725,0.10512002557516098,0.019787587225437164,0.03847622498869896
60,0.4231029450893402,0.08758185803890228,0.024011682718992233,0.036418020725250244
61,0.4051218330860138,0.08333051949739456,0.02396998181939125,0.03392795845866203
62,0.43581926822662354,0.09299395233392715,0.020591367036104202,0.0353286974132061
63,0.36104726791381836,0.07581096142530441,0.018578551709651947,0.032448671758174896
64,0.5379757881164551,0.11711601912975311,0.023069556802511215,0.03382248431444168
65,0.5521253347396851,0.12147743999958038,0.0215973611921072,0.034920528531074524
66,0.5269715189933777,0.10937641561031342,0.03092072531580925,0.03475439175963402
67,0.43123000860214233,0.08658450096845627,0.029212243854999542,0.03388970345258713
68,0.33573514223098755,0.06870210915803909,0.020164769142866135,0.030042309314012527
69,0.30965790152549744,0.05271223559975624,0.03359586000442505,0.04234086349606514
70,0.6015574336051941,0.13006840646266937,0.026840582489967346,0.040520861744880676
71,0.4482901096343994,0.09419696778059006,0.02290487103164196,0.04068591445684433
72,0.9330385327339172,0.21311110258102417,0.027139611542224884,0.036414582282304764
73,0.7259711623191833,0.162679985165596,0.025063134729862213,0.03598116338253021
74,0.6425918936729431,0.1426754593849182,0.024228928610682487,0.032336339354515076
75,0.41336938738822937,0.08835936337709427,0.018746862187981606,0.03732796013355255
76,0.38721591234207153,0.08535750955343246,0.014230367727577686,0.02917131409049034
77,0.4022712707519531,0.08289843797683716,0.023545099422335625,0.03375649079680443
78,0.6600682139396667,0.14316537976264954,0.029406936839222908,0.0396839864552021
79,0.5138818025588989,0.10598228126764297,0.030423471704125404,0.03969704359769821
80,0.34294021129608154,0.06526675820350647,0.027928903698921204,0.03443126007914543
81,0.09417201578617096,0.0,0.03195704519748688,0.04079829156398773
82,0.49922654032707214,0.10391822457313538,0.02767963521182537,0.04101300984621048
83,0.4148581624031067,0.08435867726802826,0.02507447823882103,0.04210640490055084
84,0.6283047795295715,0.14037403464317322,0.02093251794576645,0.0413639098405838
85,0.32617485523223877,0.06275629997253418,0.024413255974650383,0.040332943201065063
86,0.45044568181037903,0.09142611175775528,0.02803914062678814,0.04183829948306084
87,0.4040318727493286,0.0769764706492424,0.03357989713549614,0.03478924185037613
88,0.425359308719635,0.08568032830953598,0.027661561965942383,0.038525987416505814
89,0.44597122073173523,0.09040345251560211,0.02775568887591362,0.04276628792285919
90,0.5987727642059326,0.13327236473560333,0.02152257040143013,0.03393400087952614
91,0.3351902961730957,0.06538527458906174,0.02440180815756321,0.036127615720033646
92,0.3140115439891815,0.0603267140686512,0.023702820762991905,0.03842184692621231
93,0.4746159017086029,0.10244831442832947,0.021154481917619705,0.03410418704152107
94,0.3130544126033783,0.0581124871969223,0.02624746598303318,0.042816564440727234
95,0.47653093934059143,0.09926596283912659,0.026922928169369698,0.034742217510938644
96,0.36553218960762024,0.07253742963075638,0.024760622531175613,0.03851693868637085
97,0.43473148345947266,0.08681226521730423,0.029654763638973236,0.03813006728887558
98,0.5316393375396729,0.11192162334918976,0.028993917629122734,0.03276585787534714
99,0.4490888714790344,0.09368879348039627,0.02500910870730877,0.03374554589390755
100,0.5608112812042236,0.12070899456739426,0.025928130373358727,0.037585727870464325
