迭代次数,训练损失
1,0.7041146159172058
2,0.7304766774177551
3,0.7128390669822693
4,0.6947259306907654
5,0.7084264755249023
6,0.7434102296829224
7,0.7065322995185852
8,0.7129067182540894
9,0.7468609809875488
10,0.7019094228744507
11,0.6945458650588989
12,0.7888837456703186
13,0.710068941116333
14,0.6714094281196594
15,0.6992554068565369
16,0.6709087491035461
17,0.681178867816925
18,0.6612498164176941
19,0.6381011605262756
20,0.7624297738075256
21,0.7297011613845825
22,0.6875340938568115
23,0.7446315288543701
24,0.7049415707588196
25,0.7709171772003174
26,0.6293454170227051
27,0.6573281288146973
28,0.6786412596702576
29,0.7540245652198792
30,0.7140204310417175
31,0.8028696179389954
32,0.7485213875770569
33,0.7060093283653259
34,0.7609817981719971
35,0.6834596991539001
36,0.7176448106765747
37,0.8076402544975281
38,0.6465097665786743
39,0.6982678771018982
40,0.7129968404769897
41,0.6950977444648743
42,0.6831342577934265
43,0.7924321889877319
44,0.7217847108840942
45,0.7777329683303833
46,0.6958258748054504
47,0.7232206463813782
48,0.7005830407142639
49,0.7120707631111145
50,0.6567655205726624
51,0.7158703804016113
52,0.6610638499259949
53,0.6976211667060852
54,0.7044546604156494
55,0.6153228878974915
56,0.752621054649353
57,0.701327919960022
58,0.628193199634552
59,0.6518231630325317
60,0.664429783821106
61,0.6843490600585938
62,0.634546160697937
63,0.7057346701622009
64,0.7224607467651367
65,0.7628934979438782
66,0.6896936893463135
67,0.7521002292633057
68,0.6741039752960205
69,0.6651796102523804
70,0.6810513138771057
71,0.7101134657859802
72,0.6321384906768799
73,0.7086424231529236
74,0.661573588848114
75,0.7530152797698975
76,0.6839227676391602
77,0.714885950088501
78,0.6693358421325684
79,0.7416330575942993
80,0.6080822944641113
